id,date,cost,bedrooms,bathrooms,square,square_lot,floors,view,condition,grade,square_above,square_basement,lat,long
6699930550,20150203T000000,338000,3,2.5,2470,4948,2,0,3,8,2470,0,47.3438,-122.039
1020069017,20150327T000000,700000,4,1,1300,1651359,1,3,4,6,1300,0,47.2313,-122.023
7230000350,20140909T000000,300000,3,1.75,1830,51836,1,0,4,7,1430,400,47.4774,-122.098
5088500310,20150312T000000,435000,3,2,2660,16677,1,0,3,9,2210,450,47.3689,-122.055
7883603750,20141209T000000,337000,3,1.75,1400,6000,1,0,4,7,700,700,47.5283,-122.321
2115200160,20140605T000000,445000,4,2.5,2340,3784,2,0,3,8,2340,0,47.535,-122.348
0626100023,20140611T000000,600000,5,2.75,2910,53898,1,0,5,7,1510,1400,47.7201,-122.062
5561401260,20141014T000000,508000,4,2.25,3320,53392,2,0,4,8,2000,1320,47.4724,-122.014
1320069179,20141104T000000,397000,3,2,1710,134489,1,2,5,7,1710,0,47.2207,-121.984
3856904740,20141021T000000,490000,2,1,950,3060,1,0,3,6,810,140,47.6698,-122.323
7784400060,20150120T000000,545000,3,2.5,2370,9000,1,3,4,8,1570,800,47.4922,-122.365
8670000060,20140827T000000,535000,4,2.5,2710,12138,1,0,3,8,1700,1010,47.7657,-122.29
1832100030,20140625T000000,597326,4,4,3570,8250,2,0,3,10,2860,710,47.5784,-122.226
6152900273,20140909T000000,301000,3,1.5,1030,8414,1,0,4,7,1030,0,47.7654,-122.297
2113700060,20141014T000000,400000,4,2.5,2350,3904,2.5,0,3,7,2350,0,47.5305,-122.351
7211340030,20150428T000000,300000,3,1,1010,10168,1,0,3,6,1010,0,47.6453,-121.912
8911000030,20141210T000000,355000,3,1,1240,5400,1,0,4,7,1060,180,47.7115,-122.355
8598900125,20150406T000000,443000,3,1.75,1530,8028,1,0,3,7,1200,330,47.7768,-122.361
2770606602,20150305T000000,552500,3,1.75,2040,5775,1,0,3,7,1410,630,47.6592,-122.393
2600000510,20140726T000000,686000,4,2.25,2130,10650,2,0,4,8,2130,0,47.5567,-122.159
2925079012,20141105T000000,503000,4,2.5,2940,156988,2,2,3,9,1870,1070,47.6214,-121.946
5312100060,20141111T000000,465000,4,2.5,2200,3141,2,0,3,7,2060,140,47.5726,-122.305
3303980520,20150423T000000,1.135e+006,4,3.25,4130,11444,2,0,3,11,4130,0,47.5208,-122.15
2025770560,20141103T000000,930000,4,4.25,5710,24663,2,0,3,11,5710,0,47.3065,-122.158
4327100045,20140721T000000,300000,5,1,1940,8875,1,0,3,7,1940,0,47.4407,-122.275
3629920140,20150407T000000,477000,3,2.25,1260,3000,2,0,3,7,1260,0,47.5459,-121.997
2251500270,20150413T000000,700000,4,2.25,2690,15000,2,0,3,9,1890,800,47.612,-122.064
4322500055,20150417T000000,607000,5,1.75,1910,5428,1,0,3,8,1390,520,47.5333,-122.392
8899210320,20140820T000000,360000,3,2.25,2200,8000,2,0,3,8,2200,0,47.4522,-122.208
1623300765,20140506T000000,469000,2,1,1030,4400,1,0,3,7,1030,0,47.681,-122.361
7015200335,20140619T000000,1.525e+006,4,3.25,3620,5131,2,3,4,11,2350,1270,47.6499,-122.37
1313500070,20140820T000000,249000,3,1.5,1580,7200,1,0,4,7,1080,500,47.2761,-122.152
7365600070,20140624T000000,762500,4,2.75,2610,8760,1,0,4,8,1760,850,47.5875,-122.229
7588700204,20140716T000000,520000,4,1.75,1240,4532,1.5,0,4,7,1240,0,47.6892,-122.378
6117501176,20150102T000000,500000,4,2.5,2230,26989,1,1,4,8,1400,830,47.4285,-122.345
6699000810,20140813T000000,315000,5,2.5,3220,5751,2,0,3,8,3220,0,47.3717,-122.104
6918700320,20150306T000000,685000,5,2.5,1900,7843,2,0,5,7,1900,0,47.6273,-122.123
9151600695,20150304T000000,625000,3,2,2140,3600,2,0,3,8,1680,460,47.5846,-122.383
6414600262,20140829T000000,365000,2,1,990,8250,1,0,3,7,990,0,47.7252,-122.331
1887500045,20141226T000000,247500,4,2,2460,5921,1,0,4,7,1230,1230,47.308,-122.209
1552520070,20141202T000000,425000,3,2.5,1630,10762,1,0,3,7,1630,0,47.7508,-122.175
3885803625,20141203T000000,835000,3,1.75,1490,3840,2,0,3,8,1490,0,47.6916,-122.214
4307350990,20150309T000000,320000,3,2.5,1590,3480,2,0,3,7,1590,0,47.4805,-122.178
5409800140,20150217T000000,410500,4,2.5,3362,8601,2,0,3,8,3362,0,47.2592,-122.304
2314300200,20141021T000000,449500,4,3,2580,7299,2,0,3,8,2580,0,47.4646,-122.15
4278900055,20140528T000000,599000,4,2.75,2020,2750,1,0,3,8,1010,1010,47.6053,-122.291
2548100140,20150116T000000,330000,4,1.5,1250,8400,1,0,3,7,960,290,47.7505,-122.315
7715800710,20140722T000000,470000,4,2.5,1850,11250,1.5,0,3,7,1210,640,47.6264,-122.062
0034001160,20140919T000000,590000,3,2,3030,9374,1,1,4,7,2100,930,47.5289,-122.391
3066410800,20141211T000000,685000,4,2.5,2770,10051,2,0,3,10,2770,0,47.6288,-122.043
7577700070,20140828T000000,577000,2,1.75,1620,4879,1,0,3,7,1040,580,47.5703,-122.385
1826049225,20150417T000000,460000,4,1.75,1870,8663,1,0,5,7,1870,0,47.7366,-122.35
1545807990,20150217T000000,315000,3,1.75,1890,10661,1,0,5,7,1460,430,47.3583,-122.056
2113700335,20150408T000000,316500,3,1.75,1460,6360,1,2,3,7,1010,450,47.5311,-122.353
5379804150,20150211T000000,598800,6,4,4470,17877,3,3,3,9,3230,1240,47.4514,-122.273
6738700320,20150414T000000,1.249e+006,4,3.5,3190,6000,1.5,3,4,9,2410,780,47.5846,-122.29
6127010800,20140609T000000,550000,3,2.5,2260,4165,2,0,3,7,2260,0,47.5922,-122.008
8159620160,20150424T000000,284200,3,2.5,1570,9292,1,0,3,7,1110,460,47.3386,-122.272
0627300105,20140729T000000,930000,4,3,2900,10400,1,3,5,8,1530,1370,47.5854,-122.114
6054650510,20140609T000000,347000,3,1.75,1240,8050,1,0,4,7,1240,0,47.6108,-122.044
3904921070,20140812T000000,590000,4,2.5,2340,8971,2,0,3,9,2340,0,47.5679,-122.011
2473251170,20140626T000000,302000,4,1.75,1530,17664,1.5,0,3,7,1530,0,47.4549,-122.155
1721069036,20140529T000000,412000,3,1.75,1950,52256,1,0,4,8,1950,0,47.3133,-122.078
9476200350,20141013T000000,471750,5,3.5,3790,8200,1,1,3,8,2120,1670,47.4891,-122.19
2129700320,20150505T000000,250000,1,0.75,940,87120,1,0,3,6,940,0,47.7182,-121.956
5101404170,20141113T000000,200000,1,0.75,680,9600,1,0,3,5,680,0,47.6964,-122.306
5466400550,20141113T000000,210000,3,1.75,1260,6223,1,0,3,7,820,440,47.3574,-122.158
0434000030,20141219T000000,555000,3,2,2080,7020,1,0,4,7,1040,1040,47.6768,-122.285
1118002090,20140628T000000,1.6e+006,3,4.25,2820,7200,2,0,4,10,2460,360,47.6298,-122.29
5103900045,20140725T000000,299000,3,1.75,1730,14270,1,0,3,7,1730,0,47.5318,-121.833
1022059082,20140508T000000,307000,3,1.75,1890,13860,1,0,5,7,1890,0,47.4156,-122.149
9346700320,20150323T000000,722500,4,2.5,2460,9296,2,0,3,9,2460,0,47.6125,-122.152
4319200505,20140617T000000,560000,5,1,1710,9100,1.5,0,4,7,1320,390,47.5379,-122.378
2207500695,20150304T000000,1.015e+006,4,2.5,2960,4760,2,0,3,8,2160,800,47.6367,-122.318
7203102080,20141217T000000,305000,2,1,1290,3140,2,0,3,7,1290,0,47.6971,-122.026
7702600160,20140709T000000,507000,3,1.75,2140,40098,1,0,5,8,1490,650,47.4296,-122.111
1823049171,20141218T000000,275000,5,1.5,1950,9000,1,0,3,7,1130,820,47.4882,-122.339
3892500070,20140728T000000,1.48e+006,3,3.5,4070,26000,2,0,3,11,4070,0,47.659,-122.174
9553200125,20150331T000000,875000,3,1.5,2440,5750,1,0,3,8,1320,1120,47.6991,-122.296
2420069017,20150324T000000,152900,1,1,900,4368,1,0,5,6,900,0,47.2107,-121.99
0251200200,20140627T000000,464900,4,2.25,2020,8424,1,0,4,7,1380,640,47.7262,-122.233
3395040550,20150429T000000,320000,3,2.5,1530,2890,2,0,3,7,1530,0,47.5434,-122.293
0898000200,20150402T000000,219950,3,1,1200,7727,1,0,4,7,1200,0,47.2021,-121.999
3558910640,20150401T000000,528000,4,1.75,1860,9750,1,0,3,7,1460,400,47.7097,-122.202
2991000400,20140723T000000,272000,3,2.5,1790,6371,2,0,3,8,1790,0,47.3291,-122.168
1895450200,20150415T000000,349000,4,2.5,2190,7294,2,0,3,8,2190,0,47.2923,-122.357
4073800140,20140811T000000,429000,3,3.25,2210,3600,2,0,3,8,1820,390,47.7031,-122.279
9214400135,20150310T000000,510000,2,1,890,6095,1,0,3,7,890,0,47.6823,-122.298
3066400140,20140620T000000,632500,4,2.5,2090,10306,2,0,3,10,2090,0,47.6304,-122.051
8691350200,20150417T000000,884250,4,2.5,3840,12151,2,0,3,10,3840,0,47.5953,-121.986
3623500260,20140512T000000,1.2e+006,3,1.75,1560,8078,1.5,4,4,6,1560,0,47.5779,-122.246
1336800160,20140605T000000,875000,5,2.5,2920,5568,2,0,3,8,2320,600,47.6265,-122.312
6402300070,20141208T000000,800000,4,2.5,2390,10000,1,0,3,9,1590,800,47.5801,-122.229
8682291940,20140630T000000,419000,2,1.75,1510,4980,1,0,3,8,1510,0,47.7191,-122.023
2175100270,20140604T000000,1.025e+006,3,1.75,2640,8000,1,3,4,9,1320,1320,47.5826,-122.246
9178600135,20140826T000000,800000,4,2,2130,2800,1,0,5,7,1070,1060,47.6545,-122.333
6414100111,20141105T000000,365000,2,1,990,9223,1,0,3,7,990,0,47.72,-122.32
2767601031,20150202T000000,583500,4,1,1530,3900,1.5,0,4,7,1530,0,47.6748,-122.379
0908000260,20141117T000000,272000,4,2.5,1870,5692,2,0,3,7,1870,0,47.4334,-122.148
6159400030,20141008T000000,399950,3,2,2050,9396,1,0,5,7,1170,880,47.7447,-122.328
0251200240,20140725T000000,491500,4,2.75,2100,7236,1,0,3,8,1400,700,47.7267,-122.232
0824069121,20141222T000000,585000,5,3.5,3180,40946,1,3,3,7,1690,1490,47.5833,-122.073
1085610030,20140801T000000,725500,4,2.5,2790,74495,2,0,3,9,2790,0,47.6628,-122.056
4345000510,20150428T000000,325000,3,2.5,1800,8518,2,0,3,7,1800,0,47.3643,-122.185
2592400550,20140709T000000,463000,4,2.5,1980,6660,2,0,4,7,1980,0,47.7158,-122.167
7967600069,20141117T000000,185000,3,1,980,9135,1,0,3,7,980,0,47.3496,-122.289
8146100370,20140904T000000,735000,4,1.75,2100,7960,1,0,3,8,1340,760,47.6079,-122.195
9510900070,20140923T000000,292500,4,1.75,2140,8162,1,0,3,7,1420,720,47.3096,-122.377
0705700640,20140916T000000,353000,3,2.75,2170,8396,2,0,3,7,2170,0,47.3812,-122.023
2124069078,20141211T000000,525000,2,1.5,1480,43645,1,0,3,8,1480,0,47.5484,-122.045
8856900310,20150203T000000,535000,4,2.25,2810,12607,2,0,3,10,2810,0,47.4585,-122.13
3582200200,20150427T000000,455000,3,1,2400,17239,1,0,4,7,1890,510,47.75,-122.245
7234601162,20140915T000000,570000,3,3.5,1460,1021,2,0,3,8,1150,310,47.6169,-122.309
7297700055,20150305T000000,306000,3,1,1190,10350,1,0,4,7,1190,0,47.7428,-122.244
1320069271,20140612T000000,342500,3,2,2080,11375,1,0,3,8,2080,0,47.214,-121.993
7443000640,20140912T000000,460000,3,1.75,1400,2003,1,0,4,8,700,700,47.6508,-122.368
3343301920,20150302T000000,1.65e+006,3,2.75,2690,8890,2,4,4,10,2690,0,47.5487,-122.197
4058802105,20140904T000000,150000,3,1,1450,6776,1,0,3,7,1450,0,47.5056,-122.244
0623049315,20140701T000000,330000,3,2.5,1680,11312,1,0,3,7,1080,600,47.5051,-122.344
4388600030,20141103T000000,605000,5,2.25,3220,9603,2,0,3,8,3220,0,47.6474,-122.11
5566100060,20140718T000000,490000,3,1.75,1720,12540,1,0,4,7,1720,0,47.5699,-122.177
1843100520,20140725T000000,347000,4,2.5,2770,9751,2,0,3,8,2770,0,47.3739,-122.126
3905120830,20150415T000000,612000,3,2.5,2180,5496,2,0,3,8,2180,0,47.5723,-122.007
1545802830,20150309T000000,258500,3,2,1460,7930,1,0,3,7,1460,0,47.359,-122.049
3438500339,20140526T000000,276000,3,1,1140,5000,1,0,3,7,1140,0,47.5535,-122.362
2600140070,20150409T000000,1.0275e+006,4,3,3540,10202,2,0,3,8,2720,820,47.5471,-122.155
2781260370,20150128T000000,398000,4,2.5,2820,5510,2,0,3,9,2820,0,47.3477,-122.024
3886902445,20150316T000000,535000,2,1,920,9000,1,0,1,6,920,0,47.6831,-122.189
3755100520,20150427T000000,465000,3,1.75,1490,10757,1,0,3,7,1060,430,47.72,-122.229
8563000520,20141029T000000,529219,4,2.25,1990,7610,1,0,4,8,1290,700,47.6236,-122.103
1163400070,20141112T000000,220000,3,1,1660,21514,1,0,4,7,1660,0,47.2159,-121.964
6648701420,20150213T000000,205000,4,2,1450,8175,1,0,4,7,1450,0,47.3933,-122.195
6620400631,20140709T000000,284000,4,1.75,1880,8800,1,0,3,7,1130,750,47.5137,-122.333
0425069139,20141027T000000,600000,4,2.25,2090,45738,2,0,3,8,2090,0,47.6876,-122.049
4364700105,20140804T000000,330000,3,1,1030,7620,1,0,3,7,1030,0,47.5281,-122.375
4035900060,20140919T000000,515000,3,1.75,1600,20873,1,0,3,8,1600,0,47.5632,-122.182
7305300370,20150504T000000,390000,3,1.5,1240,8410,1,0,5,6,1240,0,47.753,-122.328
0104550520,20150330T000000,270000,4,2.5,1750,6397,2,0,3,7,1750,0,47.3082,-122.358
3859900060,20150112T000000,2.75e+006,5,4,6300,16065,2,1,3,12,4360,1940,47.5922,-122.207
7697100030,20140929T000000,546800,4,1.5,1520,5910,1,0,3,7,1020,500,47.6904,-122.295
6918700370,20141027T000000,610000,4,2.25,1660,7350,1,0,3,8,1660,0,47.6263,-122.124
2719100013,20150429T000000,418000,2,1.5,1480,1349,2,0,3,7,1240,240,47.5439,-122.386
5017000575,20141124T000000,569000,3,2,1990,3000,1.5,0,3,7,1230,760,47.6272,-122.29
4024101715,20140905T000000,306000,3,1,910,8658,1,0,3,7,910,0,47.7586,-122.303
1774350160,20140718T000000,522250,4,2.5,2340,41600,1,0,3,8,1640,700,47.7466,-122.077
8712100320,20140728T000000,585000,5,2.75,2350,4178,1.5,0,3,8,1520,830,47.6388,-122.3
5126950340,20150330T000000,252000,3,1.75,1430,7700,1,0,4,7,980,450,47.3993,-122.183
8698600055,20140620T000000,210000,2,2,1680,5756,2,0,4,7,1680,0,47.3065,-122.222
7183000070,20140821T000000,369160,4,2.25,2120,9680,2,2,4,8,2120,0,47.3367,-122.332
9157600060,20140910T000000,635000,4,2,2660,8160,1,0,4,7,1380,1280,47.7229,-122.359
7640400070,20140915T000000,665000,4,2.5,2080,8100,1,2,5,8,1220,860,47.7228,-122.369
3764650070,20141216T000000,471000,3,2.5,2010,4059,2,0,3,8,2010,0,47.7317,-122.197
9376301180,20150408T000000,552500,3,1,1430,5000,1,0,3,7,1430,0,47.6895,-122.37
4140090370,20150218T000000,446500,4,2.5,3060,7920,1,0,3,8,1810,1250,47.7675,-122.261
7454001090,20150309T000000,307000,3,1,770,6552,1,0,3,6,670,100,47.5133,-122.372
0993000046,20140922T000000,510000,3,2,1600,4510,1,0,3,7,990,610,47.6939,-122.34
1724069062,20140714T000000,1.365e+006,2,3.25,2700,3444,3,3,3,9,2700,0,47.5684,-122.06
5634500036,20140820T000000,459000,5,2.5,2650,12987,1,0,4,7,1350,1300,47.7482,-122.244
0476000335,20141217T000000,430000,2,1.5,1320,1194,3,0,3,7,1320,0,47.6704,-122.39
2024059084,20150313T000000,625000,4,2.75,2290,21486,1,2,5,7,2290,0,47.5515,-122.189
1425069116,20141107T000000,1.1875e+006,4,3.5,4340,217800,2,0,3,11,4340,0,47.6471,-122.013
0128500260,20140508T000000,262000,4,2.5,2020,6236,2,0,3,7,2020,0,47.2796,-122.247
6099400140,20140904T000000,230000,5,1,1920,19040,1,0,3,7,1160,760,47.4756,-122.294
3508100135,20150316T000000,1.101e+006,3,1.5,2220,4830,2,3,3,9,1790,430,47.5825,-122.4
3623029045,20140925T000000,482000,3,1.75,2600,105587,1,0,4,7,1300,1300,47.4464,-122.497
4017110200,20150127T000000,469000,3,2.25,2070,9957,1,0,3,8,1440,630,47.7766,-122.277
3831200200,20150420T000000,172040,3,2.25,1710,7134,1,0,4,7,1130,580,47.3911,-122.191
2126059234,20140924T000000,650000,5,3.5,5110,10018,2,0,3,10,3850,1260,47.7261,-122.17
8581200160,20141024T000000,193000,3,1.5,1180,7000,1,0,4,7,1180,0,47.2959,-122.373
0323089084,20140827T000000,592000,3,2.5,2400,81892,2,0,3,8,2400,0,47.5028,-121.769
8565900160,20150326T000000,995000,4,2.25,2340,13406,1,0,4,9,2340,0,47.5377,-122.221
3395000070,20140927T000000,1.5445e+006,4,2.75,4910,15139,1,0,4,10,2560,2350,47.6444,-122.22
2206700295,20140915T000000,453000,3,1,1210,9473,1,0,5,7,1210,0,47.5637,-122.139
3888100128,20140728T000000,968933,4,3.5,4120,7304,2,0,3,11,3070,1050,47.681,-122.167
3020079078,20141027T000000,487000,6,3.25,4750,248600,2,0,4,8,4750,0,47.1879,-121.973
3904100106,20150427T000000,335000,3,1,2320,6750,1,0,3,7,1160,1160,47.5327,-122.276
8078350030,20140602T000000,580000,4,2.5,2220,7064,2,0,3,8,2220,0,47.5716,-122.022
6728700075,20140520T000000,575000,4,1.75,1280,6060,1,0,3,7,860,420,47.6805,-122.364
9423400193,20141226T000000,473000,3,2.75,1050,7200,1,0,3,7,1050,0,47.7163,-122.303
1726069051,20140523T000000,306000,2,1,780,13500,1,0,4,7,780,0,47.7383,-122.074
7878400135,20141120T000000,355000,3,2.25,2550,9674,1,0,3,7,1850,700,47.4856,-122.247
3278601940,20140806T000000,349950,2,3.25,1570,2031,2,0,3,8,1310,260,47.548,-122.375
4239400960,20141212T000000,143000,3,1,1090,3315,1,0,4,6,1090,0,47.3159,-122.183
7206900075,20140818T000000,200000,5,1.75,1770,15525,1,0,4,7,1770,0,47.5025,-122.142
7896300070,20150501T000000,265000,4,1,1290,6034,1,0,3,6,1050,240,47.5223,-122.286
1370800830,20150505T000000,1.22e+006,3,3.25,3960,6132,2,3,3,10,2600,1360,47.6396,-122.409
1137300340,20141121T000000,674250,4,2.5,2780,35000,1,0,4,9,2780,0,47.7386,-122.091
5028600550,20141229T000000,262000,3,1.75,1320,6530,1,0,4,7,1320,0,47.2871,-122.354
6654700240,20150408T000000,332000,4,2.5,1980,6566,2,0,3,8,1980,0,47.3809,-122.097
1175001125,20141006T000000,550000,2,1,1080,3420,1,0,4,7,780,300,47.6715,-122.393
6414600260,20141030T000000,345000,2,1,970,10423,1,0,3,7,970,0,47.7252,-122.331
0259600560,20140827T000000,405000,3,1,1220,7771,1,0,3,7,1220,0,47.6326,-122.119
3034200370,20141031T000000,543000,4,2.5,2060,8451,2,0,3,8,2060,0,47.7168,-122.333
7525100520,20140502T000000,335000,2,2,1350,2560,1,0,3,8,1350,0,47.6344,-122.107
8562900520,20140612T000000,640000,5,3.5,3690,11928,2,0,3,9,2540,1150,47.6108,-122.06
5160300030,20150401T000000,660000,4,1.75,1870,10450,1,0,3,8,1620,250,47.5938,-122.154
7796600070,20140825T000000,195000,3,1.5,1190,8726,1,0,3,7,1190,0,47.4887,-122.343
1781500435,20150225T000000,575000,3,1.75,1580,7344,1,0,5,7,1580,0,47.5256,-122.38
3629910370,20150410T000000,650000,3,2.5,2190,3600,2,0,3,9,2190,0,47.5506,-121.993
0765000060,20140827T000000,342000,4,2,1570,11200,1,0,3,7,1120,450,47.7573,-122.217
0133000070,20140916T000000,179900,2,1,680,6400,1,0,3,6,680,0,47.5136,-122.316
3905030140,20140622T000000,545000,4,2.5,2090,6023,2,0,3,8,2090,0,47.5713,-121.997
6889000060,20141223T000000,225000,3,1,1010,7633,1,0,4,6,1010,0,47.3781,-122.314
4123400320,20140505T000000,627000,4,2.25,1990,7712,1,0,3,8,1210,780,47.5688,-122.087
1232000810,20140912T000000,340000,3,2.5,1400,4800,1,0,3,7,1200,200,47.6865,-122.379
0117000003,20140919T000000,595000,4,2.25,1920,3225,1.5,0,5,7,1300,620,47.5848,-122.384
6021503570,20140918T000000,525000,2,1,880,4000,1,0,3,7,880,0,47.6847,-122.387
7215410320,20150311T000000,390000,3,2.5,2480,53250,2,0,3,9,2480,0,47.3323,-122.079
3630120960,20140718T000000,715000,3,3.25,3230,5000,2,0,3,9,3230,0,47.5558,-122.002
3797000830,20140530T000000,425000,3,1.75,1680,3000,1,2,4,6,840,840,47.686,-122.346
1472330030,20150324T000000,646000,3,2.75,2460,6413,2,0,3,9,2460,0,47.7497,-122.245
9828202255,20140922T000000,890000,4,2.75,2610,4400,1,0,5,8,1260,1350,47.6158,-122.293
8722100570,20150403T000000,1.6e+006,4,2.25,2940,5735,1,0,3,9,1470,1470,47.6381,-122.304
6071700160,20140623T000000,603500,6,2.75,2660,8400,1,0,5,8,1550,1110,47.549,-122.173
1471620240,20140516T000000,275000,3,2.5,1480,15639,2,0,3,8,1480,0,47.4723,-121.746
3629970240,20141103T000000,690000,3,2.5,2820,5001,2,0,3,9,2820,0,47.5533,-121.992
1121059105,20140708T000000,378500,3,2.5,2860,43821,2,0,4,9,2860,0,47.3163,-122.142
5040800060,20150204T000000,675000,3,1.75,1710,5913,1,0,4,8,1120,590,47.6481,-122.406
7452500340,20141204T000000,265000,3,1,1080,4930,1,0,3,6,1080,0,47.5209,-122.374
2558640340,20140527T000000,375000,3,1.75,1440,8775,1,0,3,7,1440,0,47.7231,-122.17
8572900135,20140523T000000,399500,3,1.75,2420,12676,2,0,3,7,2420,0,47.4943,-121.789
7972601710,20150415T000000,320000,2,1,900,7620,1,0,3,7,900,0,47.5268,-122.343
5706500140,20140818T000000,205500,2,1,900,6400,1,0,5,6,900,0,47.2113,-121.992
3904990030,20140709T000000,561000,4,2.5,2570,5250,2,0,3,8,2570,0,47.5763,-122
2946000751,20140724T000000,230000,3,1,1300,14000,1,0,4,7,1300,0,47.4213,-122.322
